af,loss,lr,nn,loss,aca 
relu,binary_crossentropy,0.001,1,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.001,10,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.001,100,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.001,200,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.001,50,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.01,1,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.01,10,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.01,100,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.01,200,7.610872772924914,0.5065868496894836
relu,binary_crossentropy,0.01,50,7.610872772924914,0.5065868496894836
relu,mean_squared_error,0.0001,1,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.0001,10,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.0001,100,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.0001,200,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.0001,50,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.001,1,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.001,10,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.001,100,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.001,200,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.001,50,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.01,1,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.01,10,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.01,100,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.01,200,0.493413173688386,0.5065868496894836
relu,mean_squared_error,0.01,50,0.493413173688386,0.5065868496894836
sigmoid,binary_crossentropy,0.00001,1,0.7613429997495549,0.49341318011283875
sigmoid,binary_crossentropy,0.00001,10,0.6960979927799659,0.5065868496894836
sigmoid,binary_crossentropy,0.00001,100,0.6936260597434586,0.5065868496894836
sigmoid,binary_crossentropy,0.00001,200,0.6934795922861842,0.5065868496894836
sigmoid,binary_crossentropy,0.00001,50,0.756501900293156,0.5065868496894836
sigmoid,binary_crossentropy,0.001,1,0.6937391840769145,0.5065868496894836
sigmoid,binary_crossentropy,0.001,10,0.6935446704933029,0.5065868496894836
sigmoid,binary_crossentropy,0.001,100,0.6935457117543249,0.5065868496894836
sigmoid,binary_crossentropy,0.001,200,0.6935458159732247,0.5065868496894836
sigmoid,binary_crossentropy,0.001,50,0.6935458098343033,0.5065868496894836
sigmoid,binary_crossentropy,0.01,1,0.6935458859283767,0.5065868496894836
sigmoid,binary_crossentropy,0.01,10,0.6935457078282704,0.5065868496894836
sigmoid,binary_crossentropy,0.01,100,0.6935458022677256,0.5065868496894836
sigmoid,binary_crossentropy,0.01,200,0.6935458072645222,0.5065868496894836
sigmoid,binary_crossentropy,0.01,50,0.693545763435478,0.5065868496894836
sigmoid,mean_squared_error,0.001,1,0.2505229302152188,0.49341318011283875
sigmoid,mean_squared_error,0.001,10,0.25016978764962294,0.5065868496894836
sigmoid,mean_squared_error,0.001,100,0.25019902255006893,0.5065868496894836
sigmoid,mean_squared_error,0.001,200,0.2501989782927279,0.5065868496894836
sigmoid,mean_squared_error,0.001,50,0.2501991109219854,0.5065868496894836
sigmoid,mean_squared_error,0.01,1,0.25019898626975673,0.5065868496894836
sigmoid,mean_squared_error,0.01,10,0.2501989797203841,0.5065868496894836
sigmoid,mean_squared_error,0.01,100,0.25019899437170545,0.5065868496894836
sigmoid,mean_squared_error,0.01,200,0.250199027993008,0.5065868496894836
sigmoid,mean_squared_error,0.01,50,0.25019900905871817,0.5065868496894836
