c,degree,gamma,aca 
25,1,scale,0.8457446808510638
25,1,auto,0.8457446808510638
25,2,scale,0.7832446808510638
25,2,auto,0.7832446808510638
25,3,scale,0.839095744680851
25,3,auto,0.839095744680851
25,4,scale,0.7925531914893617
25,4,auto,0.7925531914893617
25,5,scale,0.8377659574468085
25,5,auto,0.8377659574468085
25,6,scale,0.7486702127659575
25,6,auto,0.7486702127659575
10,1,scale,0.8457446808510638
10,1,auto,0.8457446808510638
10,2,scale,0.7712765957446809
10,2,auto,0.7712765957446809
10,3,scale,0.8523936170212766
10,3,auto,0.8523936170212766
10,4,scale,0.8045212765957447
10,4,auto,0.8045212765957447
10,5,scale,0.839095744680851
10,5,auto,0.839095744680851
10,6,scale,0.7273936170212766
10,6,auto,0.7273936170212766
1,1,scale,0.8430851063829787
1,1,auto,0.8430851063829787
1,2,scale,0.7672872340425532
1,2,auto,0.7672872340425532
1,3,scale,0.851063829787234
1,3,auto,0.851063829787234
1,4,scale,0.7327127659574468
1,4,auto,0.7327127659574468
1,5,scale,0.8204787234042553
1,5,auto,0.8191489361702128
1,6,scale,0.6648936170212766
1,6,auto,0.6648936170212766
0.1,1,scale,0.8404255319148937
0.1,1,auto,0.8404255319148937
0.1,2,scale,0.7207446808510638
0.1,2,auto,0.7207446808510638
0.1,3,scale,0.8404255319148937
0.1,3,auto,0.8404255319148937
0.1,4,scale,0.6888297872340425
0.1,4,auto,0.6888297872340425
0.1,5,scale,0.7792553191489362
0.1,5,auto,0.7792553191489362
0.1,6,scale,0.651595744680851
0.1,6,auto,0.651595744680851
0.001,1,scale,0.7965425531914894
0.001,1,auto,0.7965425531914894
0.001,2,scale,0.5319148936170213
0.001,2,auto,0.5319148936170213
0.001,3,scale,0.5398936170212766
0.001,3,auto,0.5398936170212766
0.001,4,scale,0.5319148936170213
0.001,4,auto,0.5319148936170213
0.001,5,scale,0.5398936170212766
0.001,5,auto,0.5398936170212766
0.001,6,scale,0.5412234042553191
0.001,6,auto,0.5412234042553191
0.001,1,scale,0.7965425531914894
0.001,1,auto,0.7965425531914894
0.001,2,scale,0.5319148936170213
0.001,2,auto,0.5319148936170213
0.001,3,scale,0.5398936170212766
0.001,3,auto,0.5398936170212766
0.001,4,scale,0.5319148936170213
0.001,4,auto,0.5319148936170213
0.001,5,scale,0.5398936170212766
0.001,5,auto,0.5398936170212766
0.001,6,scale,0.5412234042553191
0.001,6,auto,0.5412234042553191
0.0001,1,scale,0.5319148936170213
0.0001,1,auto,0.5319148936170213
0.0001,2,scale,0.5319148936170213
0.0001,2,auto,0.5319148936170213
0.0001,3,scale,0.5319148936170213
0.0001,3,auto,0.5319148936170213
0.0001,4,scale,0.5332446808510638
0.0001,4,auto,0.5332446808510638
0.0001,5,scale,0.5319148936170213
0.0001,5,auto,0.5319148936170213
0.0001,6,scale,0.5319148936170213
0.0001,6,auto,0.5319148936170213
1e-05,1,scale,0.5319148936170213
1e-05,1,auto,0.5319148936170213
1e-05,2,scale,0.5319148936170213
1e-05,2,auto,0.5319148936170213
1e-05,3,scale,0.5319148936170213
1e-05,3,auto,0.5319148936170213
1e-05,4,scale,0.5319148936170213
1e-05,4,auto,0.5319148936170213
1e-05,5,scale,0.5319148936170213
1e-05,5,auto,0.5319148936170213
1e-05,6,scale,0.5332446808510638
1e-05,6,auto,0.5332446808510638
